iter;Initial storage utilization;Loading docks number;Unloading docks number;Forklifts number;palletTypesNum;Objective Value
353;0.2;1;2;41;13;64.189
354;0.4;2;4;22;7;82.512
355;0;2;2;33;5;66.784
356;0.1;6;2;16;9;82.933
357;0.4;1;3;18;8;79.066
358;0.6;1;2;22;9;66.664
359;0;1;1;16;1;59.119
360;0.1;4;3;37;3;80.92
361;0;4;2;24;3;65.043
362;0.2;1;3;10;2;78.421
363;0;2;3;34;5;66.194
364;0;7;3;35;6;82.039
365;0.8;1;1;31;1;65.337
366;0.9;3;3;18;1;94.79
367;0.9;6;5;21;16;95.621
368;0;3;1;16;1;53.839
369;0.3;5;3;10;11;89.647
370;0.1;1;1;27;6;66.917
371;0.3;4;2;42;7;72.938
372;0.6;5;2;41;10;85.615
373;0.2;4;2;44;2;66.633
374;0.7;6;3;30;11;105.264
375;0.1;3;1;24;5;69.619
376;0.5;3;2;10;3;91.733
377;0.3;7;3;16;3;101.644
378;1;6;3;17;14;98.461
379;0;1;3;24;6;71.013
380;0.3;4;4;41;2;75.704
381;0.7;5;3;20;3;94.103
382;0;2;1;20;1;56.297
383;0.3;4;1;21;1;82.275
384;0.7;4;2;36;7;78.141
385;0.1;6;1;41;9;66.549
386;0;4;1;16;1;51.571
387;0.6;6;4;15;2;87.4
388;0.3;2;1;26;1;65.859
389;0.5;4;1;33;10;80.397
390;0.7;4;3;20;7;88.734
391;1;2;3;33;11;67.209
392;0;7;1;30;4;51.733
393;0.8;1;3;35;14;65.392
394;0;3;1;17;1;53.979
395;1;5;4;28;16;100.349
396;0.9;3;5;30;1;82.803
397;1;3;1;28;14;72.195
398;0;3;5;29;1;91.174
399;0.4;3;2;42;13;66.731
400;0;4;1;17;1;51.592
401;0.4;1;4;39;11;65.644
402;0.5;1;4;21;13;71.689
403;0.9;4;3;40;9;71.262
404;0.7;3;2;14;11;96.244
405;0.2;1;1;16;5;66.587
406;0.1;5;1;15;2;75.187
407;0.4;3;4;41;5;68.937
408;0;5;2;21;3;61.83
409;0.4;7;2;32;8;125.338
410;0.1;7;4;24;11;101.842
411;0;5;1;19;2;54.115
412;0;6;1;21;2;51.154
413;0.5;6;1;11;14;93.803
414;0;7;1;19;2;49.397
415;0.2;2;4;25;1;82.589
416;0.4;5;5;34;11;98.724
417;0.9;2;3;40;3;66.126
418;0.8;6;5;10;6;81.886
419;0.1;6;1;20;6;76.702
420;0;5;3;24;11;87.49
421;0.6;4;2;21;5;107.561
422;0;7;1;18;2;49.476
423;0.5;6;4;25;10;104.662
424;0;1;2;19;3;64.994
425;0.4;7;1;38;6;99.227
426;0.3;5;1;25;16;80.63
427;1;3;2;29;5;75.79
428;0.5;5;4;37;8;97.543
429;0.5;6;3;43;15;98.236
430;0;6;1;18;2;50.674
431;0;5;1;18;2;51.824
432;0.2;3;5;12;13;92.324
433;0.4;5;2;10;7;95.707
434;0.7;2;2;36;2;66.827
